,economy,time,EducationExpenditureTotal
0,ARG,YR2010,15.0479698181152
1,ARG,YR2011,15.1585597991943
2,ARG,YR2012,14.5182600021362
3,ARG,YR2013,14.4579296112061
4,ARG,YR2014,13.7993297576904
5,ARG,YR2015,13.9633102416992
6,ARG,YR2016,13.3555402755737
7,ARG,YR2017,13.2639198303223
8,ARG,YR2018,12.5233402252197
9,ARG,YR2019,12.5300703048706
10,ARG,YR2020,12.4222898483276
11,DZA,YR2010,17.7689990997314
12,DZA,YR2011,17.5650005340576
13,DZA,YR2012,15.9840002059937
14,DZA,YR2013,17.6459999084473
15,DZA,YR2014,16.4689998626709
16,DZA,YR2015,15.2030000686646
17,DZA,YR2016,16.1110000610352
18,DZA,YR2017,17.5559997558594
19,DZA,YR2018,14.9490003585815
20,DZA,YR2019,14.4630002975464
21,DZA,YR2020,16.548999786377
22,ETH,YR2010,26.3040409088135
23,ETH,YR2011,29.674430847168
24,ETH,YR2012,30.5395393371582
25,ETH,YR2013,27.0210990905762
26,ETH,YR2014,25.9183807373047
27,ETH,YR2015,23.6639995574951
28,ETH,YR2016,23.0130004882812
29,ETH,YR2017,23.3239994049072
30,ETH,YR2018,22.992000579834
31,ETH,YR2019,20.9220008850098
32,ETH,YR2020,22.4479999542236
33,TZA,YR2010,19.8020191192627
34,TZA,YR2011,17.6180000305176
35,TZA,YR2012,16.878999710083
36,TZA,YR2013,19.1149997711182
37,TZA,YR2014,17.2971000671387
38,TZA,YR2015,17.6350002288818
39,TZA,YR2016,17.2040004730225
40,TZA,YR2017,24.3965396881104
41,TZA,YR2018,20.504940032959
42,TZA,YR2019,14.2919998168945
43,TZA,YR2020,13.628999710083
44,UZB,YR2010,
45,UZB,YR2011,25.5751304626465
46,UZB,YR2012,25.8314590454102
47,UZB,YR2013,25.1016292572021
48,UZB,YR2014,25.3249588012695
49,UZB,YR2015,24.5244998931885
50,UZB,YR2016,24.8733444213867
51,UZB,YR2017,23.4043712615967
52,UZB,YR2018,21.8169212341309
53,UZB,YR2019,25.5915851593018
54,UZB,YR2020,21.8166007995605
55,VNM,YR2010,17.0566692352295
56,VNM,YR2011,17.8112697601318
57,VNM,YR2012,18.7849903106689
58,VNM,YR2013,18.515510559082
59,VNM,YR2014,16.8120002746582
60,VNM,YR2015,15.0170001983643
61,VNM,YR2016,15.6049003601074
62,VNM,YR2017,15.4739999771118
63,VNM,YR2018,16.0908699035645
64,VNM,YR2019,15.5719995498657
65,VNM,YR2020,14.4720001220703
