,counterpart_area,economy,time,ExternalDebtStock
0,001,ARG,YR2010,41750905.2
1,001,ARG,YR2011,40429199.4
2,001,ARG,YR2012,41225972.4
3,001,ARG,YR2013,43091358.6
4,001,ARG,YR2014,58870494.9
5,001,ARG,YR2015,49870080.9
6,001,ARG,YR2016,39239926.6
7,001,ARG,YR2017,37569271.8
8,001,ARG,YR2018,24814440.0
9,001,ARG,YR2019,13198826.6
10,001,ARG,YR2020,15737557.5
11,001,DZA,YR2010,15644229.6
12,001,DZA,YR2011,1629020.1
13,001,DZA,YR2012,492136.2
14,001,DZA,YR2013,256512.6
15,001,DZA,YR2014,0.0
16,001,DZA,YR2015,
17,001,DZA,YR2016,
18,001,DZA,YR2017,
19,001,DZA,YR2018,
20,001,DZA,YR2019,
21,001,DZA,YR2020,
22,001,ETH,YR2010,
23,001,ETH,YR2011,
24,001,ETH,YR2012,
25,001,ETH,YR2013,
26,001,ETH,YR2014,
27,001,ETH,YR2015,
28,001,ETH,YR2016,
29,001,ETH,YR2017,
30,001,ETH,YR2018,
31,001,ETH,YR2019,
32,001,ETH,YR2020,
33,001,TZA,YR2010,1414985.0
34,001,TZA,YR2011,1349537.7
35,001,TZA,YR2012,1362109.0
36,001,TZA,YR2013,1369178.8
37,001,TZA,YR2014,7034495.4
38,001,TZA,YR2015,6851189.1
39,001,TZA,YR2016,7844612.2
40,001,TZA,YR2017,14619467.0
41,001,TZA,YR2018,13875110.0
42,001,TZA,YR2019,13520119.0
43,001,TZA,YR2020,14650346.9
44,001,UZB,YR2010,
45,001,UZB,YR2011,
46,001,UZB,YR2012,
47,001,UZB,YR2013,
48,001,UZB,YR2014,
49,001,UZB,YR2015,
50,001,UZB,YR2016,
51,001,UZB,YR2017,
52,001,UZB,YR2018,
53,001,UZB,YR2019,
54,001,UZB,YR2020,
55,001,VNM,YR2010,182535609.6
56,001,VNM,YR2011,217919931.9
57,001,VNM,YR2012,244347602.4
58,001,VNM,YR2013,297664944.0
59,001,VNM,YR2014,276595047.9
60,001,VNM,YR2015,256474857.3
61,001,VNM,YR2016,237165121.3
62,001,VNM,YR2017,268687574.1
63,001,VNM,YR2018,231756015.0
64,001,VNM,YR2019,219912290.4
65,001,VNM,YR2020,235147945.9
66,002,ARG,YR2010,9262000.0
67,002,ARG,YR2011,8986000.0
68,002,ARG,YR2012,9137000.0
69,002,ARG,YR2013,9517000.0
70,002,ARG,YR2014,11370268.4
71,002,ARG,YR2015,9637269.6
72,002,ARG,YR2016,7584247.8
73,002,ARG,YR2017,7256583.2
74,002,ARG,YR2018,4793215.0
75,002,ARG,YR2019,2549760.6
76,002,ARG,YR2020,3034120.2
77,002,DZA,YR2010,240964963.2
78,002,DZA,YR2011,209936568.9
79,002,DZA,YR2012,182933490.6
80,002,DZA,YR2013,143197469.4
81,002,DZA,YR2014,104361607.8
82,002,DZA,YR2015,74709860.1
83,002,DZA,YR2016,57959688.5
84,002,DZA,YR2017,52495759.6
85,002,DZA,YR2018,41011610.0
86,002,DZA,YR2019,32902139.2
87,002,DZA,YR2020,30038180.9
88,002,ETH,YR2010,
89,002,ETH,YR2011,
90,002,ETH,YR2012,
91,002,ETH,YR2013,
92,002,ETH,YR2014,
93,002,ETH,YR2015,
94,002,ETH,YR2016,
95,002,ETH,YR2017,
96,002,ETH,YR2018,
97,002,ETH,YR2019,
98,002,ETH,YR2020,
99,002,TZA,YR2010,19168835.0
100,002,TZA,YR2011,18766444.3
101,002,TZA,YR2012,19459545.4
102,002,TZA,YR2013,20570357.5
103,002,TZA,YR2014,18242804.1
104,002,TZA,YR2015,18774396.1
105,002,TZA,YR2016,18210403.7
106,002,TZA,YR2017,20738036.3
107,002,TZA,YR2018,19799092.5
108,002,TZA,YR2019,17812387.5
109,002,TZA,YR2020,19455405.2
110,002,UZB,YR2010,0.0
111,002,UZB,YR2011,0.0
112,002,UZB,YR2012,0.0
113,002,UZB,YR2013,
114,002,UZB,YR2014,
115,002,UZB,YR2015,
116,002,UZB,YR2016,
117,002,UZB,YR2017,
118,002,UZB,YR2018,
119,002,UZB,YR2019,
120,002,UZB,YR2020,
121,002,VNM,YR2010,86106064.2
122,002,VNM,YR2011,85357289.1
123,002,VNM,YR2012,79214137.2
124,002,VNM,YR2013,76493160.6
125,002,VNM,YR2014,64150615.8
126,002,VNM,YR2015,46281725.7
127,002,VNM,YR2016,38800366.9
128,002,VNM,YR2017,34818249.0
129,002,VNM,YR2018,26340725.0
130,002,VNM,YR2019,19453168.8
131,002,VNM,YR2020,18869116.7
132,003,ARG,YR2010,9498000.0
133,003,ARG,YR2011,9367000.0
134,003,ARG,YR2012,9434000.0
135,003,ARG,YR2013,9623000.0
136,003,ARG,YR2014,12371450.8
137,003,ARG,YR2015,11115333.0
138,003,ARG,YR2016,8905250.6
139,003,ARG,YR2017,7942266.0
140,003,ARG,YR2018,5373568.3
141,003,ARG,YR2019,2884200.0
142,003,ARG,YR2020,3283715.0
143,003,DZA,YR2010,
144,003,DZA,YR2011,
145,003,DZA,YR2012,
146,003,DZA,YR2013,
147,003,DZA,YR2014,
148,003,DZA,YR2015,
149,003,DZA,YR2016,
150,003,DZA,YR2017,
151,003,DZA,YR2018,
152,003,DZA,YR2019,
153,003,DZA,YR2020,
154,003,ETH,YR2010,
155,003,ETH,YR2011,
156,003,ETH,YR2012,
157,003,ETH,YR2013,
158,003,ETH,YR2014,
159,003,ETH,YR2015,
160,003,ETH,YR2016,
161,003,ETH,YR2017,
162,003,ETH,YR2018,
163,003,ETH,YR2019,
164,003,ETH,YR2020,0.0
165,003,TZA,YR2010,0.0
166,003,TZA,YR2011,0.0
167,003,TZA,YR2012,0.0
168,003,TZA,YR2013,105128793.0
169,003,TZA,YR2014,85800447.0
170,003,TZA,YR2015,66599045.1
171,003,TZA,YR2016,55051426.6
172,003,TZA,YR2017,47829283.3
173,003,TZA,YR2018,34899600.0
174,003,TZA,YR2019,23680148.6
175,003,TZA,YR2020,14330073.8
176,003,UZB,YR2010,
177,003,UZB,YR2011,
178,003,UZB,YR2012,
179,003,UZB,YR2013,
180,003,UZB,YR2014,
181,003,UZB,YR2015,
182,003,UZB,YR2016,
183,003,UZB,YR2017,
184,003,UZB,YR2018,
185,003,UZB,YR2019,
186,003,UZB,YR2020,
187,003,VNM,YR2010,41558932.1
188,003,VNM,YR2011,32909548.3
189,003,VNM,YR2012,27300943.6
190,003,VNM,YR2013,26703542.2
191,003,VNM,YR2014,21178103.4
192,003,VNM,YR2015,16395509.1
193,003,VNM,YR2016,16118664.2
194,003,VNM,YR2017,20608027.9
195,003,VNM,YR2018,21265400.0
196,003,VNM,YR2019,23730385.6
197,003,VNM,YR2020,24636486.7
198,004,ARG,YR2010,180169983.2
199,004,ARG,YR2011,176863440.4
200,004,ARG,YR2012,178691058.4
201,004,ARG,YR2013,183250987.6
202,004,ARG,YR2014,304262126.9
203,004,ARG,YR2015,271795599.6
204,004,ARG,YR2016,217371818.6
205,004,ARG,YR2017,195304101.2
206,004,ARG,YR2018,136911145.0
207,004,ARG,YR2019,318472855.4
208,004,ARG,YR2020,407406308.7
209,004,DZA,YR2010,746342527.2
210,004,DZA,YR2011,624578469.0
211,004,DZA,YR2012,549553849.2
